Invoice Date,Invoice Amount
2019-12-31,48862.4
2020-01-31,115963.73
2020-02-29,90834.49
2020-03-31,85181.6
2020-04-30,51215.75
2020-05-31,75619.7
2020-06-30,82589.47
2020-07-31,77254.04
2020-08-31,142889.19
2020-09-30,74500.53
2020-10-31,76285.03
2020-11-30,101398.75
2020-12-31,75501.35
2021-01-31,58849.66
2021-02-28,56404.59
2021-03-31,67781.97
2021-04-30,121120.97
2021-05-31,71851.5
2021-06-30,91639.39
2021-07-31,66808.1
2021-08-31,93305.4
2021-09-30,73618.4
2021-10-31,100037.1
2021-11-30,76960.8
2021-12-31,80174.4
2022-01-31,65522.0
2022-02-28,66003.0
2022-03-31,87931.5
2022-04-30,87703.9
2022-05-31,113609.9
2022-06-30,85440.29
2022-07-31,83424.3
2022-08-31,79459.58
2022-09-30,110667.12
2022-10-31,92798.4
2022-11-30,130081.89
2022-12-31,108063.2
2023-01-31,102309.0
2023-02-28,82516.0
2023-03-31,136596.6
2023-04-30,100298.2
2023-05-31,134467.9
2023-06-30,102367.6
2023-07-31,101365.15
2023-08-31,74898.90000000001
